image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.006557245800075,6.982560068150001e-05,0.0013898080637500003,8.967127281250001e-05,0.9902944112500001,0.000818240738925,0.000182505968025,0.000598274277775
img_00007.jpg,0.731195,0.0372277804375,0.006409365275000001,0.00379608629375,0.0022318913625000002,0.045444790745,0.0032335494962499995,0.170461583875
img_00009.jpg,0.96444816,0.0199305388675,0.0003451044751875,0.0004985215058624999,0.0054559045999875,0.00458627100775,0.000555158465125,0.00418035258563
img_00018.jpg,0.9573373375,0.0024180482562500003,0.00033996304625,0.0019374387017500002,0.0037452291012500002,0.0062365907625,0.0006439763699999999,0.027341376005625
img_00027.jpg,0.7995608575,0.0120039604075,0.001254320836875,0.00034834866325,0.016881469575000002,0.049659586250000005,0.00025964509375,0.12003188333750002
img_00030.jpg,0.0250366481125,0.0003608052425000001,0.0007507007175,0.0005114587725000001,0.9577390000000001,0.00148496302125,0.006201343975000001,0.0079151083325
img_00040.jpg,0.263515052242,0.0433331322075,0.0015597436977499999,0.0030466631887500002,0.03986995950525,0.0099565550975,0.5972518087500001,0.041467043441250004
img_00046.jpg,0.4520348025,0.00020013818870000003,0.0016631110385,0.00024081082037500002,0.54095321,0.0023379835525,0.00033098072174999997,0.002239021765125
img_00053.jpg,0.9970669125,3.2823783425000004e-05,0.0002079528730625,2.15149236375e-05,0.0008611504781250001,1.64407305375e-05,6.140589298750001e-05,0.00173169226325
img_00071.jpg,0.0024630116120625003,0.0007144180394999999,3.251414695000001e-05,0.9953479675,9.066558593749999e-05,0.00085443272925,0.0002031188455,0.00029393740388375
img_00075.jpg,0.613549295,0.00479219550625,0.00079490355625,0.0006626953225,0.006900528475000001,0.34403138874999994,0.0023432284080000003,0.02692579733
img_00102.jpg,0.0467611543425,0.022135252187500003,0.00039630964992499996,0.0018410374677000003,0.022722438454075,0.010420329798625,0.0008408613413249999,0.89488261625
img_00103.jpg,0.93750386875,0.0015264230489125,0.0029290976291250002,0.021516817314,0.0283956117538175,0.0010488776255125,0.00118695966781875,0.00589233182345
