image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.010420046,0.0001114004,0.002156277,0.00014163721,0.98462427,0.0013026082,0.00028707273,0.00095664815
img_00007.jpg,0.83842105,0.0060818507,0.00058870966,0.00072479167,0.002387675,0.0023418975,0.001227455,0.14822663
img_00027.jpg,0.9237783,0.01079793,0.0008544762,0.00028095336,0.025098985,0.031345516,0.00022549438,0.0076184496
img_00018.jpg,0.9412989,0.0025488592,0.00044545913,0.0029108482,0.005265424,0.00296489,0.00097126735,0.043594312
img_00009.jpg,0.94371784,0.031494796,0.00053400354,0.000792114,0.008728117,0.0071732393,0.00087927724,0.00668056
img_00030.jpg,0.02900194,0.00035587567,0.0007405901,0.00012674155,0.9551684,0.0017258981,0.0014792138,0.011401393
img_00071.jpg,0.0029176038,0.0010748409,4.3721044e-05,0.9939621,0.00013771674,0.0011831642,0.00022093143,0.0004600217
img_00053.jpg,0.99588424,4.861547e-05,0.00023145175,2.96421e-05,0.001164503,1.2666729e-05,9.617798e-05,0.0025325245
img_00046.jpg,0.41507292,0.0003150452,0.0024472405,0.00033683222,0.57417464,0.0036647257,0.00045257248,0.00353607
img_00040.jpg,0.2717535,0.0661142,0.0023855304,0.004307288,0.053523708,0.011134112,0.5300223,0.060759272
img_00075.jpg,0.8021975,0.007152585,0.0009032389,0.00038174758,0.008500623,0.13557678,0.0023431005,0.042944495
img_00102.jpg,0.07360012,0.02589593,0.0006238342,0.0028853533,0.036350932,0.01634975,0.0013343361,0.84295976
img_00103.jpg,0.9015214,0.0021927033,0.004498618,0.033963814,0.04537681,0.0014066289,0.0018788753,0.009161166
img_00120.jpg,0.5455143,0.08711525,0.0025651583,0.0006901094,0.018040594,0.00073352904,0.002540162,0.34280083
img_00109.jpg,0.9926986,0.00015548413,2.078655e-05,7.901254e-05,0.0064047794,0.00022542909,0.00024139523,0.00017440389
img_00119.jpg,0.06468497,0.011003563,0.00041259325,0.0006299185,0.7295321,0.006480674,0.002783296,0.18447284
img_00128.jpg,0.08505413,0.044202063,0.083298326,0.00050422415,0.03435839,0.00883955,0.0046183565,0.7391249
img_00129.jpg,0.1367815,0.03953569,0.0016014532,0.0035463623,0.031532753,0.009245679,0.6878814,0.0898752
img_00125.jpg,0.8964315,0.0046871426,0.006104093,0.041452926,0.0032920337,0.0031931316,0.0018505472,0.042988617
img_00138.jpg,0.99036753,0.0040891245,0.00013968031,4.718076e-05,0.002425917,0.00027440587,0.00036822486,0.002287901
img_00141.jpg,0.010294672,0.0037169892,0.005803768,0.00022966586,0.019213768,0.0051737125,0.0043335035,0.951234
img_00133.jpg,0.021795405,0.00022041223,0.00014916711,0.00017991324,0.97521406,0.00072032755,0.0006903343,0.0010303225
img_00152.jpg,0.019956835,0.0009609933,5.074838e-05,5.348715e-05,0.0041026766,0.0010850006,0.0006725698,0.97311765
img_00164.jpg,0.14693968,0.01437638,0.010828972,0.0012623614,0.71751565,0.012264591,0.0039469325,0.09286546
img_00161.jpg,0.0073512476,0.0005880448,8.628416e-05,7.796939e-05,0.0071770465,0.022169998,0.00036164408,0.96218777
img_00172.jpg,0.0069909417,3.201532e-05,9.5040166e-05,3.819761e-05,0.99156195,0.0003573497,8.7411274e-05,0.00083725655
img_00170.jpg,0.9871553,0.0001268472,0.00010256443,0.0048646233,0.0008882889,0.00037394773,0.0009622319,0.005526113
img_00171.jpg,0.8612707,0.0031736135,0.00457059,0.024057629,0.01191644,0.06237864,0.012533757,0.020098543
img_00175.jpg,0.93262994,0.0011444798,0.004817962,0.017660683,0.009221865,0.020311669,0.0066844136,0.0075289886
img_00223.jpg,0.85960674,0.0023524198,0.12149089,0.0013951118,0.0028563724,0.0022497717,0.002143348,0.007905542
img_00196.jpg,0.095702626,0.06412218,0.002293945,0.00034571133,0.7114044,0.021110134,0.0043524182,0.10066857
img_00180.jpg,0.31988677,0.048950493,0.008457386,0.0017640991,0.13315466,0.007636255,0.003791281,0.47635907
img_00212.jpg,0.028711706,0.00084646116,4.2143787e-05,0.00023438716,0.0031668562,0.0005096627,0.0002564592,0.96623236
img_00230.jpg,0.9117061,0.012079818,0.0057932497,0.0011303256,0.003602803,0.00870336,0.002328952,0.054655313
img_00232.jpg,0.02508624,0.024491167,0.00083765783,0.0027835388,0.00893786,0.0070803342,0.91211563,0.018667553
img_00302.jpg,0.40056527,0.07244761,0.0024153718,0.004631598,0.060056582,0.019520948,0.35003963,0.09032302
img_00244.jpg,0.8182529,0.06434406,0.0014296137,0.001502411,0.006590425,0.094182685,0.002514886,0.011183076
img_00272.jpg,0.99334866,0.0021691865,0.00094226963,0.00065879524,0.0009718101,0.0007917196,0.0003137574,0.0008038132
img_00280.jpg,0.77951664,0.005030936,0.0018716195,0.0005148923,0.20720334,0.002179508,0.0009473619,0.0027357005
img_00282.jpg,0.8719847,0.0030441987,0.005959101,0.031213127,0.012425253,0.041627444,0.013434614,0.0203115
img_00311.jpg,0.9977088,0.00020587382,0.00012579834,0.0001350259,0.000476224,0.00049411104,0.00018552752,0.0006687104
img_00320.jpg,0.97308266,0.010977603,0.0014204405,0.0018319906,0.003293887,0.0041183997,0.002786077,0.0024890134
img_00292.jpg,0.84621745,0.005754972,0.00047707616,0.0015510553,0.11225227,0.0141878985,0.0008987999,0.018660452
img_00289.jpg,0.96264887,0.00069312064,2.7553244e-05,2.2977138e-05,0.033743735,0.0008807672,0.00035938912,0.001623587
